Voicetag;Sex;Pitch;Template;Id
TOUSSAINT KNIGHT 08;M;;;TK08
TOUSSAINT KNIGHT 09;M;;;TK09
TOUSSAINT KNIGHT 11;M;;;TK11
TOUSSAINT KNIGHT 12;M;;;TK12
TOUSSAINT KNIGHT 13;M;;;TK13
TOUSSAINT KNIGHT 14;M;;;TK14
TOUSSAINT KNIGHT 15;M;;;TK15
TOUSSAINT KNIGHT 16;M;;;TK16
TOUSSAINT KNIGHT 17;M;;;TK17
TOUSSAINT KNIGHT 18;M;;;TK18
TOUSSAINT KNIGHT 19;M;;;TK19
TOUSSAINT KNIGHT 20;M;;;TK20
TOUSSAINT MEDIC 01;M;;;TMED01
TOUSSAINT MEDIC 02;M;;;TMED02
TOUSSAINT MEDIC 03;M;;;TMED03
TOUSSAINT MEDIC 11;M;;;TMED11
TOUSSAINT MEDIC 12;M;;;TMED12
TOUSSAINT MEDIC 13;M;;;TMED13
TOUSSAINT MEDIC WOMAN 01;M;;;TMEW01
TOUSSAINT MEDIC WOMAN 02;M;;;TMEW02
TOUSSAINT MEDIC WOMAN 03;M;;;TMEW03
TOUSSAINT MEDIC WOMAN 11;M;;;TMEW11
TOUSSAINT MEDIC WOMAN 12;M;;;TMEW12
TOUSSAINT MEDIC WOMAN 13;M;;;TMEW13
TOUSSAINT NOBLE MAN 01;M;;;TNM01
TOUSSAINT NOBLE MAN 02;M;;;TNM02
TOUSSAINT NOBLE MAN 03;M;;;TNM03
TOUSSAINT NOBLE MAN 11;M;;;TNM11
TOUSSAINT NOBLE MAN 12;M;;;TNM12
TOUSSAINT NOBLE MAN 13;M;;;TNM13
TOUSSAINT NOBLE MAN 31;M;;;TNM31
TOUSSAINT NOBLE MAN 32;M;;;TNM32
TOUSSAINT NOBLE MAN 33;M;;;TNM33
TOUSSAINT NOBLE MAN 34;M;;;TNM34
TOUSSAINT NOBLE MAN 35;M;;;TNM35
TOUSSAINT NOBLE MAN 36;M;;;TNM36
TOUSSAINT NOBLE MAN 37;M;;;TNM37
TOUSSAINT NOBLE MAN 38;M;;;TNM38
TOUSSAINT NOBLE MAN 39;M;;;TNM39
TOUSSAINT NOBLE MAN 40;M;;;TNM40
TOUSSAINT NOBLE WOMAN 01;F;;;TNW01
TOUSSAINT NOBLE WOMAN 02;F;;;TNW02
TOUSSAINT NOBLE WOMAN 03;F;;;TNW03
TOUSSAINT NOBLE WOMAN 11;F;;;TNW11
TOUSSAINT NOBLE WOMAN 12;F;;;TNW12
TOUSSAINT NOBLE WOMAN 13;F;;;TNW13
TOUSSAINT NOBLE WOMAN 31;F;;;TNW31
TOUSSAINT NOBLE WOMAN 32;F;;;TNW32
TOUSSAINT NOBLE WOMAN 33;F;;;TNW33
TOUSSAINT NOBLE WOMAN 34;F;;;TNW34
TOUSSAINT NOBLE WOMAN 35;F;;;TNW35
TOUSSAINT NOBLE WOMAN 36;F;;;TNW36
TOUSSAINT NOBLE WOMAN 37;F;;;TNW37
TOUSSAINT NOBLE WOMAN 38;F;;;TNW38
TOUSSAINT NOBLE WOMAN 39;F;;;TNW39
TOUSSAINT NOBLE WOMAN 40;F;;;TNW40
TOUSSAINT OLD MAN 01;M;;;TOM01
TOUSSAINT OLD MAN 02;M;;;TOM02
TOUSSAINT OLD MAN 03;M;;;TOM03
TOUSSAINT OLD MAN 04;M;;;TOM04
TOUSSAINT OLD MAN 05;M;;;TOM05
TOUSSAINT OLD MAN 11;M;;;TOM11
TOUSSAINT OLD MAN 12;M;;;TOM12
TOUSSAINT OLD MAN 13;M;;;TOM13
TOUSSAINT OLD MAN 31;M;;;TOM31
TOUSSAINT OLD MAN 32;M;;;TOM32
TOUSSAINT OLD MAN 33;M;;;TOM33
TOUSSAINT OLD MAN 34;M;;;TOM34
TOUSSAINT OLD MAN 35;M;;;TOM35
TOUSSAINT OLD MAN 36;M;;;TOM36
TOUSSAINT OLD MAN 37;M;;;TOM37
TOUSSAINT OLD WOMAN 01;W;;;TOW01
TOUSSAINT OLD WOMAN 02;W;;;TOW02
TOUSSAINT OLD WOMAN 03;W;;;TOW03
TOUSSAINT OLD WOMAN 04;W;;;TOW04
TOUSSAINT OLD WOMAN 05;W;;;TOW05
TOUSSAINT OLD WOMAN 11;W;;;TOW11
TOUSSAINT OLD WOMAN 12;W;;;TOW12
TOUSSAINT OLD WOMAN 13;W;;;TOW13
TOUSSAINT OLD WOMAN 31;F;;;TOW31
TOUSSAINT OLD WOMAN 32;F;;;TOW32
TOUSSAINT OLD WOMAN 33;F;;;TOW33
TOUSSAINT OLD WOMAN 34;F;;;TOW34
TOUSSAINT OLD WOMAN 35;F;;;TOW35
TOUSSAINT OLD WOMAN 36;F;;;TOW36
TOUSSAINT OLD WOMAN 37;F;;;TOW37
TOUSSAINT PEASANT MAN 01;M;;;TPM01
TOUSSAINT PEASANT MAN 02;M;;;TPM02
TOUSSAINT PEASANT MAN 03;M;;;TPM03
TOUSSAINT PEASANT MAN 04;M;;;TPM04
TOUSSAINT PEASANT MAN 05;M;;;TPM05
TOUSSAINT PEASANT MAN 11;M;;;TPM11
TOUSSAINT PEASANT MAN 12;M;;;TPM12
TOUSSAINT PEASANT MAN 13;M;;;TPM13
TOUSSAINT PEASANT MAN 14;M;;;TPM14
TOUSSAINT PEASANT MAN 15;M;;;TPM15
TOUSSAINT PEASANT MAN 31;M;;;TPM31
TOUSSAINT PEASANT MAN 32;M;;;TPM32
TOUSSAINT PEASANT MAN 33;M;;;TPM33
TOUSSAINT PEASANT MAN 34;M;;;TPM34
TOUSSAINT PEASANT MAN 35;M;;;TPM35
TOUSSAINT PEASANT MAN 36;M;;;TPM36
TOUSSAINT PEASANT MAN 37;M;;;TPM37
TOUSSAINT PEASANT MAN 38;M;;;TPM38
TOUSSAINT PEASANT MAN 39;M;;;TPM39
TOUSSAINT PEASANT MAN 40;M;;;TPM40
TOUSSAINT PEASANT WOMAN 01;F;;;TPW01
TOUSSAINT PEASANT WOMAN 02;F;;;TPW02
TOUSSAINT PEASANT WOMAN 03;F;;;TPW03
TOUSSAINT PEASANT WOMAN 04;F;;;TPW04
TOUSSAINT PEASANT WOMAN 05;F;;;TPW05
TOUSSAINT PEASANT WOMAN 11;F;;;TPW11
TOUSSAINT PEASANT WOMAN 12;F;;;TPW12
TOUSSAINT PEASANT WOMAN 13;F;;;TPW13
TOUSSAINT PEASANT WOMAN 14;F;;;TPW14
TOUSSAINT PEASANT WOMAN 15;F;;;TPW15
TOUSSAINT PEASANT WOMAN 31;F;;;TPW31
TOUSSAINT PEASANT WOMAN 32;F;;;TPW32
TOUSSAINT PEASANT WOMAN 33;F;;;TPW33
TOUSSAINT PEASANT WOMAN 34;F;;;TPW34
TOUSSAINT PEASANT WOMAN 35;F;;;TPW35
TOUSSAINT PEASANT WOMAN 36;F;;;TPW36
TOUSSAINT PEASANT WOMAN 37;F;;;TPW37
TOUSSAINT PEASANT WOMAN 38;F;;;TPW38
TOUSSAINT PEASANT WOMAN 39;F;;;TPW39
TOUSSAINT PEASANT WOMAN 40;F;;;TPW40
TOUSSAINT POOR MAN 01;M;;;TPM01
TOUSSAINT POOR MAN 02;M;;;TPM02
TOUSSAINT POOR MAN 03;M;;;TPM03
TOUSSAINT POOR MAN 11;M;;;TPM11
TOUSSAINT POOR MAN 12;M;;;TPM11
TOUSSAINT POOR MAN 13;M;;;TPM11
TOUSSAINT POOR MAN 31;M;;;TPM31
TOUSSAINT POOR MAN 32;M;;;TPM32
TOUSSAINT POOR MAN 33;M;;;TPM33
TOUSSAINT POOR MAN 34;M;;;TPM34
TOUSSAINT POOR MAN 35;M;;;TPM35
TOUSSAINT POOR MAN 36;M;;;TPM36
TOUSSAINT POOR MAN 37;M;;;TPM37
TOUSSAINT POOR MAN 38;M;;;TPM38
TOUSSAINT POOR MAN 39;M;;;TPM39
TOUSSAINT POOR MAN 40;M;;;TPM40
TOUSSAINT POOR WOMAN 01;F;;;TPW01
TOUSSAINT POOR WOMAN 02;F;;;TPW02
TOUSSAINT POOR WOMAN 03;F;;;TPW03
TOUSSAINT POOR WOMAN 11;F;;;TPW11
TOUSSAINT POOR WOMAN 12;F;;;TPW12
TOUSSAINT POOR WOMAN 13;F;;;TPW13
TOUSSAINT POOR WOMAN 31;F;;;TPW31
TOUSSAINT POOR WOMAN 32;F;;;TPW32
TOUSSAINT POOR WOMAN 33;F;;;TPW33
TOUSSAINT POOR WOMAN 34;F;;;TPW34
TOUSSAINT POOR WOMAN 35;F;;;TPW35
TOUSSAINT POOR WOMAN 36;F;;;TPW36
TOUSSAINT POOR WOMAN 37;F;;;TPW37
TOUSSAINT POOR WOMAN 38;F;;;TPW38
TOUSSAINT POOR WOMAN 39;F;;;TPW39
TOUSSAINT POOR WOMAN 40;F;;;TPW40
TOUSSAINT SAILOR 01;M;;;TSR01
TOUSSAINT SAILOR 02;M;;;TSR02
TOUSSAINT SAILOR 03;M;;;TSR03
TOUSSAINT SAILOR 04;M;;;TSR04
TOUSSAINT SAILOR 11;M;;;TSR11
TOUSSAINT SAILOR 12;M;;;TSR12
TOUSSAINT SAILOR 13;M;;;TSR13
TOUSSAINT SAILOR 14;M;;;TSR14
TOUSSAINT SAILOR 15;M;;;TSR15
TOUSSAINT SAILOR 16;M;;;TSR16
TOUSSAINT SAILOR 31;M;;;TSR31
TOUSSAINT SAILOR 32;M;;;TSR32
TOUSSAINT SAILOR 33;M;;;TSR33
TOUSSAINT SAILOR 34;M;;;TSR34
TOUSSAINT SAILOR 35;M;;;TSR35
TOUSSAINT SQUIRE 01;M;;;TSQ01
TOUSSAINT SQUIRE 02;M;;;TSQ02
TOUSSAINT SQUIRE 03;M;;;TSQ03
TOUSSAINT SQUIRE 04;M;;;TSQ04
TOUSSAINT SQUIRE 05;M;;;TSQ05
TOUSSAINT SQUIRE 11;M;;;TSQ11
TOUSSAINT SQUIRE 12;M;;;TSQ12
TOUSSAINT SQUIRE 13;M;;;TSQ13
TOUSSAINT SQUIRE 14;M;;;TSQ14
TOUSSAINT SQUIRE 15;M;;;TSQ15
TOUSSAINT TRADER 01;M;;;TTD01
TOUSSAINT TRADER 02;M;;;TTD02
TOUSSAINT TRADER 03;M;;;TTD03
TOUSSAINT TRADER 11;M;;;TTD11
TOUSSAINT TRADER 12;M;;;TTD12
TOUSSAINT TRADER 13;M;;;TTD13
TOUSSAINT TRADER 31;M;;;TTD31
TOUSSAINT TRADER 32;M;;;TTD32
TOUSSAINT TRADER 33;M;;;TTD33
TOUSSAINT TRADER 34;M;;;TTD34
TOUSSAINT TRADER 35;M;;;TTD35
TOUSSAINT TRAVELER MAN 31;M;;;TTV31
TOUSSAINT TRAVELER MAN 32;M;;;TTV32
TOUSSAINT TRAVELER MAN 33;M;;;TTV33
TOUSSAINT TRAVELER MAN 34;M;;;TTV34
TOUSSAINT TRAVELER WOMAN 31;F;;;TTVW31
TOUSSAINT TRAVELER WOMAN 32;F;;;TTVW32
TOUSSAINT TRAVELER WOMAN 33;F;;;TTVW33
TOUSSAINT WINE MERCHANT 01;M;;;TWM01
TOUSSAINT WINE MERCHANT 02;M;;;TWM02
TOUSSAINT WINE MERCHANT 03;M;;;TWM03
TOUSSAINT WINE MERCHANT 04;M;;;TWM04
TOUSSAINT WINE MERCHANT 11;M;;;TWM11
TOUSSAINT WINE MERCHANT 12;M;;;TWM12
TOUSSAINT WINE MERCHANT 13;M;;;TWM13
TOUSSAINT WINE MERCHANT 14;M;;;TWM14
TOUSSAINT WORKER 01;M;;;TWK01
TOUSSAINT WORKER 02;M;;;TWK02
TOUSSAINT WORKER 03;M;;;TWK03
TOUSSAINT WORKER 04;M;;;TWK04
TOUSSAINT WORKER 05;M;;;TWK05
TOUSSAINT WORKER 11;M;;;TWK11
TOUSSAINT WORKER 12;M;;;TWK12
TOUSSAINT WORKER 13;M;;;TWK13
TOUSSAINT WORKER 14;M;;;TWK14
TOUSSAINT WORKER 15;M;;;TWK15
TOUSSAINT VINEYARD SUPERVISOR 01;M;;;TVSR01
TOUSSAINT VINEYARD SUPERVISOR 02;M;;;TVSR02
TOUSSAINT VINEYARD SUPERVISOR 03;M;;;TVSR03
TOUSSAINT VINEYARD SUPERVISOR 11;M;;;TVSR11
TOUSSAINT VINEYARD SUPERVISOR 12;M;;;TVSR12
TOUSSAINT VINEYARD SUPERVISOR 13;M;;;TVSR13
LIAM;M;;;LIAM
KAMERLING;M;;;KMRL
GARGOYLE;M;;;GARG
;;;;
;;;;
;;;;
;;;;
;;;;
