Status;Emotional state;Pose;Friendly name;Animation name;Animation type;Transition;Look ats;Tags;Dialog generator - animation speed;Generator generator - animation weight
;;;to: Geralt Sword Drawn Silver;high_standing_determined_draw_sword_silver;Transition;Geralt, Sword, Drawn;;;0.72-1.0;0.4-1.0
;;;to: High Standing Neutral;high_standing_determined_to_high_standing_neutral;Transition;High, Neutral, Standing;;;0.72-1.0;0.4-1.0
;;;to: Regis Standing Hand Straight;high_standing_determined_to_regis_standing_hand_straight;Transition;Regis, Standing, Hand Straight;;;0.72-1.0;0.4-1.0
;;;to: Regis Standing Belt 1;regis_high_standing_determined_to_standing_belt_1;Transition;Regis, Standing, Belt 1;;;0.72-1.0;0.4-1.0
;;;to: Syanna Standing Pose;ep2_high_standing_determined_to_syanna_standing_pose;Transition;Syanna, Pose, Standing;;;0.72-1.0;0.4-1.0
;;;to: Low Kneeling Determined2;high_standing_determined_to_low_kneeling_determined2;Transition;Low, Determined, Kneeling2;;;0.72-1.0;0.4-1.0
;;;to: Q702 Sitting At BootBlack Chair;q702_geralt_high_standing_determined_to_high_sitting_bootblack;Transition;Q702, Geralt Sitting, Bootblack Chair;;;0.72-1.0;0.4-1.0
;;;to: Syanna Standing Pose;ep2_high_standing_determined_to_syanna_standing_pose;Transition;Syanna, Standing, Pose;;;0.72-1.0;0.4-1.0
;;;to: Geralt Sitting Ground Vanilla;q704_geralt_high_standing_determined_to_vanilla_sitting_on_ground;Transition;Geralt, Sitting Ground, Vanilla;;;0.72-1.0;0.4-1.0
;;;to: Q703 Oriana Custom Pose;q703_oriana_high_standing_determined_to_custom_pose;Transition;Q703, Oriana, Standing;;;0.72-1.0;0.4-1.0
;;Kneeling;to: Low Kneeling Determined2;high_kneeling_determined_to_low_kneeling_determined2;Transition;Low, Determined, Kneeling2;;;0.72-1.0;0.4-1.0
;;Sitting 3;to: High Sitting 3 Determined Hold Bottle;q702_high_sitting3_determined_take_bottle_to_high_sitting_determined_hold_bottle;Transition;High, Determined, Sitting 3 Hold Bottle;;;0.72-1.0;0.4-1.0
;;Sitting 3 Hold Bottle;idle;q702_geralt_high_sitting_determined_hold_bottle_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;take a sip;q702_geralt_high_sitting_determined_hold_bottle_gesture_take_a_sip;Gesture;;;;0.72-1.0;0.4-1.0
;;;to: High Sitting3 Determined;q702_high_sitting_determined_hold_bottle_give_bottle_to_high_sitting_determined;Transition;High, Determined, Sitting 3;;;0.72-1.0;0.4-1.0
;Proud;Standing;to: Anna Henrietta Standing Relaxed;high_standing_proud_to_ep2_anarietta_standing_relaxed;Transition;Anna Henrietta, Relaxed, Standing;;;0.72-1.0;0.4-1.0
;;;to: Anna Henrietta Standing Tense;ep2_high_standing_proud_to_ep2_anarietta_standing_tense;Transition;Anna Henrietta, Tense, Standing;;;0.72-1.0;0.4-1.0
;;;to: High Standing Neutral;high_standing_proud_to_high_standing_neutral;Transition;High, Neutral, Standing;;;0.72-1.0;0.4-1.0
Horse;Move;Trot;trot loop;horse_trot;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;trot get off;horse_trot_get_off;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;trot start;horse_trot_start;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;trot stop;horse_trot_stop;Gesture, Move;;;;0.72-1.0;0.4-1.0
Lady;of the lake;sword;idle;Lady_of_the_lake_sword_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;leave sword;Lady_of_the_lake_leave_the_sword;Gesture, Move;;;;0.72-1.0;0.4-1.0
Low;Determined;Kneeling2;idle;low_kneeling_determined2_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;explain01;low_kneeling_determined2_gesture_explain01;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain02;low_kneeling_determined2_gesture_explain02;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain03;low_kneeling_determined2_gesture_explain03;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain04;low_kneeling_determined2_gesture_explain04;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain05;low_kneeling_determined2_gesture_explain05;Gesture;;;;0.72-1.0;0.4-1.0
;;;to: High Standing Determined;low_kneeling_determined2_to_high_standing_determined;Transition;High, Determined, Standing;;;0.72-1.0;0.4-1.0
;;;to: High Kneeling Determined;low_kneeling_determined2_to_high_kneeling_determined;Transition;High, Determined, Kneeling;;;0.72-1.0;0.4-1.0
;;;to: Low Kneeling Determined2 Forensics;low_kneeling_determined2_to_low_kneeling_determined2_forensics;Transition;Low, Determined, Kneeling2 Forensics;;;0.72-1.0;0.4-1.0
;;Kneeling2 Forenics;idle;low_kneeling_determined2_forensics_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;explain01;low_kneeling_determined2_forensics_gesture_explain01;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain02;low_kneeling_determined2_forensics_gesture_explain02;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain03;low_kneeling_determined2_forensics_gesture_explain03;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain04;low_kneeling_determined2_forensics_gesture_explain04;Gesture;;;;0.72-1.0;0.4-1.0
;;;to: Low Kneeling Determined2;low_kneeling_determined2_forensics_to_low_kneeling_determined2;Transition;Low, Determined, Kneeling2;;;0.72-1.0;0.4-1.0
;Devastated;Collapsed Wounded;idle;q704_truth_01_servant_on_the_floor_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;talk 1;q704_truth_01_servant_on_the_floor_gesture_talk1;Gesture;;;;0.72-1.0;0.4-1.0
;;;run upstairs and collapse;q704_truth_01_servant_collapse_on_the_floor;Gesture;;;;0.72-1.0;0.4-1.0
;Wounded;Sitting;idle;mq1058_low_sitting_wounded_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
Syanna;Sitting;On Windowsill;idle;q705_syanna_sitting_on_windowsill_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;boils;q705_syanna_sitting_on_windowsill_gesture_boils;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain01;q705_syanna_sitting_on_windowsill_gesture_explain_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain02;q705_syanna_sitting_on_windowsill_gesture_explain_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain03;q705_syanna_sitting_on_windowsill_gesture_explain_03;Gesture;;;;0.72-1.0;0.4-1.0
;;;to: High Standing Neutral;q705_syanna_sitting_on_windowsill_to_high_standing_neutral;Transition;High, Neutral, Standing;;;0.72-1.0;0.4-1.0
;Sitting Ground;Tired;idle;q704_fairy_tale_12_syanna_low_sitting_ground_tired_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;to: Low Sitting Ground Happy;q704_fairy_tale_12_syanna_low_sitting_ground_tired_to_low_sitting_ground_happy;Transition;Low, Happy, Sitting Ground;;;0.72-1.0;0.4-1.0
;Standing;Pose;idle;ep2_syanna_standing_pose_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;enter back;ep2_syanna_standing_pose_enter_back;Enter;;;;0.72-1.0;0.4-1.0
;;;enter front;ep2_syanna_standing_pose_enter_front;Enter;;;;0.72-1.0;0.4-1.0
;;;enter left;ep2_syanna_standing_pose_enter_left;Enter;;;;0.72-1.0;0.4-1.0
;;;enter right;ep2_syanna_standing_pose_enter_right;Enter;;;;0.72-1.0;0.4-1.0
;;;exit back;ep2_syanna_standing_pose_exit_back;Exit;;;;0.72-1.0;0.4-1.0
;;;exit front;ep2_syanna_standing_pose_exit_front;Exit;;;;0.72-1.0;0.4-1.0
;;;exit left;ep2_syanna_standing_pose_exit_left;Exit;;;;0.72-1.0;0.4-1.0
;;;exit right;ep2_syanna_standing_pose_exit_right;Exit;;;;0.72-1.0;0.4-1.0
;;;closing fist;ep2_syanna_standing_pose_gesture_closing_fist;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain01;ep2_syanna_standing_pose_gesture_explain01;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain02;ep2_syanna_standing_pose_gesture_explain02;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain03;ep2_syanna_standing_pose_gesture_explain03;Gesture;;;;0.72-1.0;0.4-1.0
;;;question01;ep2_syanna_standing_pose_gesture_question01;Gesture;;;;0.72-1.0;0.4-1.0
;;;conversation step 1;ep2_syanna_standing_pose_conversation_steps_01;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;conversation step 2;ep2_syanna_standing_pose_conversation_steps_02;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;conversation step 3;ep2_syanna_standing_pose_conversation_steps_03;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 45 left;ep2_syanna_standing_pose_turn_45_left;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 45 right;ep2_syanna_standing_pose_turn_45_right;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 90 left;ep2_syanna_standing_pose_turn_90_left;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 90 right;ep2_syanna_standing_pose_turn_90_right;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 180 left;ep2_syanna_standing_pose_turn_180_left;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;turn 180 right;ep2_syanna_standing_pose_turn_180_right;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;weight shift 01;ep2_syanna_standing_pose_weight_shift_01;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;weight shift 02;ep2_syanna_standing_pose_weight_shift_02;Gesture, Move;;;;0.72-1.0;0.4-1.0
;;;to: High Standing Determined;ep2_syanna_standing_pose_to_high_standing_determined;Transition;High, Determined, Standing;;;0.72-1.0;0.4-1.0
;;;to: High Standing Neutral;ep2_syanna_standing_pose_to_high_standing_neutral;Transition;High, Neutral, Standing;;;0.72-1.0;0.4-1.0
;;Tired;idle;q704_fairy_tale_12_syanna_standing_catching_breath_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;to: Syanna Sitting Ground Tired;q704_fairy_tale_12_syanna_standing_catching_breath_to_low_sitting_ground_tired;Transition;Syanna, Sitting Ground, Tired;;;0.72-1.0;0.4-1.0
Triss;Lying;On a Deckchair;idle;q705_triss_lying_on_a_deckchair_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;explain01;q705_triss_lying_on_a_deckchair_gesture_explain_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain02;q705_triss_lying_on_a_deckchair_gesture_explain_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain03;q705_triss_lying_on_a_deckchair_gesture_explain_03;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain04;q705_triss_lying_on_a_deckchair_gesture_explain_04;Gesture;;;;0.72-1.0;0.4-1.0
;;;explain05;q705_triss_lying_on_a_deckchair_gesture_explain_05;Gesture;;;;0.72-1.0;0.4-1.0
;Lying;On a Deckchair with a book;idle;q705_yenn_lying_on_a_deckchair_with_a_book_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;to: Triss Lying on a Deckchair;q705_yenn_lying_on_a_deckchair_with_a_book_to_triss_lying_on_a_deckchair;Transition;Triss, Lying, On a Deckchair;;;0.72-1.0;0.4-1.0
Q702;Bootblack Standing;Hold Cloth;idle;q702_bootblack_standing_hold_cloth_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;catch coin;q702_bootblack_standing_hold_cloth_gesture_catch_coin;Gesture;;;;0.72-1.0;0.4-1.0
;;;invite to sit;q702_bootblack_standing_hold_cloth_gesture_invite_to_sit;Gesture;;;;0.72-1.0;0.4-1.0
;;;whisk cloth;q702_bootblack_standing_hold_cloth_gesture_whisk_cloth;Gesture;;;;0.72-1.0;0.4-1.0
;;;to: Bootblack Working Left Boot;q702_bootblack_standing_hold_cloth_prepare_to_work_to_working_at_left_boot;Transition;Q702, Bootblack Working, Left Boot;;;0.72-1.0;0.4-1.0
;Bootblack Working;Left Boot;idle;q702_bootblack_working_at_right_boot_idle;Idle;;low_standing_bored_body_lookat, low_standing_bored_head_lookat;;0.72-1.0;0.4-1.0
;;;to: Bootblack Working Right Boot;q702_bootblack_working_at_left_boot_to_working_at_right_boot;Transition;Q702, Bootblack Working, Right Boot;;;0.72-1.0;0.4-1.0
;Bootblack Working;Right Boot;idle;q702_bootblack_working_at_right_boot_idle;Idle;;low_standing_bored_body_lookat, low_standing_bored_head_lookat;;0.72-1.0;0.4-1.0
;Geralt Sitting;Bootblack Chair;idle;q702_geralt_high_sitting_bootblack_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;talk 01;q702_geralt_sitting_at_bootblack_chair_gesture_talk_01;Gesture;;;;0.72-1.0;0.4-1.0
;;;talk 02;q702_geralt_sitting_at_bootblack_chair_gesture_talk_02;Gesture;;;;0.72-1.0;0.4-1.0
;;;talk 03;q702_geralt_sitting_at_bootblack_chair_gesture_talk_03;Gesture;;;;0.72-1.0;0.4-1.0
;;;to: High Standing Determined;q702_high_sitting_bootblack_to_geralt_high_standing_determined;Transition;High, Determined, Standing;;;0.72-1.0;0.4-1.0
Q704;Diva And Child;Standing;idle;q704_truth_03b_diva_holds_boy_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;Sitting;idle;q704_truth_03b_diva_and_boy_sitting_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;talk 1;q704_truth_03b_diva_and_boy_sitting_gesture_boy_talk1;Gesture;;;;0.72-1.0;0.4-1.0
;;;talk 2;q704_truth_03b_diva_and_boy_sitting_gesture_boy_talk2;Gesture;;;;0.72-1.0;0.4-1.0
;;;cover mouth;q704_truth_03b_diva_and_boy_sitting_gesture_boy_cover_mouth;Gesture;;;;0.72-1.0;0.4-1.0
;;;sing;q704_truth_03b_diva_and_boy_sitting_gesture_sing;Gesture;;;;0.72-1.0;0.4-1.0
;;Peeking Out;idle;q704_boy_standing_looking_out_afraid_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.4-1.0
;;;enter to peek out;q704_boy_standing_looking_out_afraid_gesture_peek_out;Gesture;;;;0.72-1.0;0.72-1.0
Q703;Oriana;Standing;idle;q703_oriana_custom_pose_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.72-1.0
;;;to: High Standing Determined;q703_oriana_custom_pose_to_high_standing_determined;Transition;High, Determined, Standing;;;0.72-1.0;0.72-1.0
;;Sitting;idle;q703_oriana_high_sitting_happy_hold_glass_idle;Idle;;high_standing_determined_body_lookat, high_standing_determined_head_lookat;;0.72-1.0;0.72-1.0
;;;drink 1;q703_oriana_high_sitting_happy_hold_glass_drink_01;Gesture;;;;0.72-1.0;0.72-1.0
;;;drink 2;q703_oriana_high_sitting_happy_hold_glass_drink_02;Gesture;;;;0.72-1.0;0.72-1.0
